서유기 2 - 선리기연,https://movie-phinf.pstatic.net/20111223_77/1324614581048LAc6L_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['코미디', '액션', '모험', '판타지', '멜로/로맨스']","['지존', '자하', '자신', '손오공', '사랑', '우마', '세상', '월광보합', '여자', '보검', '그녀', '정정', '자청', '낭군', '사부']",유진위,"['주성치', '주인', '나가영', '유진위', '남결영']"
모노노케 히메,https://movie-phinf.pstatic.net/20111222_63/1324483671210VVU36_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['애니메이션', '모험', '액션']","['아시', '타카', '산', '가미', '숲', '보시', '신', '모로', '마을', '인간', '라바', '자신', '생명', '신들', '일행']",미야자키 하야오,"['마츠다 요지', '미와 아키히로', '이시다 유리코', '다나카 유코', '코바야시 카오루']"
패왕별희,https://movie-phinf.pstatic.net/20170309_211/1489024538678ITB9w_JPEG/movie_image.jpg?type=m203_290_2,9.33,['드라마'],"['주샨', '시작', '역사', '끝', '역할', '중국', '아편', '학교', '노력', '장국영', '북경', '공리', '모하', '삶', '장풍']",천카이거,"['장국영', '공리', '장풍의', '호대위', '지앙 웬리']"
에이리언 2,https://movie-phinf.pstatic.net/20111223_189/1324569548247L26km_JPEG/movie_image.jpg?type=m203_290_2,9.33,"['SF', '공포', '스릴러', '액션']","['에이리언', '리플리', '혹성', '주민', '대원', '회사', '폭발', '해병대', '동행', '도착', '자격', '싸움', '셔틀', '얘기', '채']",제임스 카메론,"['시고니 위버', '마이클 빈', '폴 레이저', '랜스 헨릭슨', '캐리 헨']"
굿 윌 헌팅,https://movie-phinf.pstatic.net/20160810_49/14708058043034cuPp_JPEG/movie_image.jpg?type=m203_290_2,9.33,['드라마'],"['헌팅', '굿', '데이먼', '애플렉', '로빈', '윌리엄스', '각본', '배우', '영화', '제작', '탄생', '인생', '상처', '모든', '등']",구스 반 산트,"['맷 데이먼', '로빈 윌리엄스', '벤 애플렉', '스텔란 스카스가드', '미니 드라이버']"
그대를 사랑합니다,https://movie-phinf.pstatic.net/20111223_56/13246314342663riGK_JPEG/movie_image.jpg?type=m203_290_2,9.33,['드라마'],"['사랑', '군봉', '사람', '최고', '생각', '순이', '해도', '번지', '등', '새벽', '시대', '만석', '눈', '서로', '시작']",추창민,"['이순재', '윤소정', '송재호', '김수미', '오달수']"
집으로...,https://movie-phinf.pstatic.net/20190805_26/1564994340344jQru8_JPEG/movie_image.jpg?type=m203_290_2,9.33,"['드라마', '가족']","['집', '영화', '감독', '개봉', '할머니', '장면', '정향', '관객', '여성', '유승호', '다시', '한국', '살', '세대', '흥행']",이정향,"['김을분', '유승호', '동효희', '민경훈', '임은경']"
아마데우스,https://movie-phinf.pstatic.net/20150915_185/1442285641128msR7J_JPEG/movie_image.jpg?type=m203_290_2,9.33,['드라마'],"['모짜르트', '천재', '살리에리', '궁정', '파멸', '음악가', '아브라함', '비엔나', '재능', '충격', '음모', '질투', '시작', '머레이', '모습']",밀로스 포만,"['톰 헐스', 'F. 머레이 아브라함', '엘리자베스 베리지', '로이 도트라이스', '크리스틴 에버솔']"
반지의 제왕: 두 개의 탑,https://movie-phinf.pstatic.net/20170112_295/1484183596684X2ucM_JPEG/movie_image.jpg?type=m203_290_2,9.32,"['판타지', '모험', '액션']","['절대반지', '세력', '사우론', '전쟁', '악의', '지배', '반지원정대', '군주', '피', '세상', '레골라스', '파괴', '향', '호빗', '중간계']",피터 잭슨,"['일라이저 우드', '이안 맥켈런', '비고 모텐슨', '리브 타일러', '숀 애스틴']"
다시 태어나도 우리,https://movie-phinf.pstatic.net/20170831_207/1504142664133FKxXK_JPEG/movie_image.jpg?type=m203_290_2,9.33,['다큐멘터리'],"['우르', '영화제', '다시', '관객', '영화', '우리', '스승', '티베트', '등', '전', '감동', '국제', '전생', '다큐멘터리', '사람']",문창용,"['파드마 앙뚜', '우르갼 릭젠']"
